unix,date,symbol,open,high,low,close,volume,tradecount
1632530000000,2021-09-25 00:00:00,BTC/USDT,42798.49,42950,41630.26,42651.58,11773712809,2664046
1632440000000,2021-09-24 00:00:00,BTC/USDT,44828.29,45134.33,40650,42798.49,25937929796,5382969
1632360000000,2021-09-23 00:00:00,BTC/USDT,43520,44976.48,43056,44828.29,14552188971,3230032
1632270000000,2021-09-22 00:00:00,BTC/USDT,40727.83,43989.98,40551.49,43520,17055828173,3884352
1632180000000,2021-09-21 00:00:00,BTC/USDT,43026.61,43629.6,39503.58,40726.1,28674205460,5802228
1632100000000,2021-09-20 00:00:00,BTC/USDT,47256.92,47345,42467.86,43026.6,26601166550,5157870
1632010000000,2021-09-19 00:00:00,BTC/USDT,48284.61,48364.64,46840,47256.91,10122579343,2174041
1631920000000,2021-09-18 00:00:00,BTC/USDT,47303.11,48850,47044.32,48285.15,10031215318,2155659
1631840000000,2021-09-17 00:00:00,BTC/USDT,47745.55,48150,46750,47303.11,10742174763,2357112
1631750000000,2021-09-16 00:00:00,BTC/USDT,48106.13,48488,47038.21,47745.55,12433719043,2620820
1631660000000,2021-09-15 00:00:00,BTC/USDT,47087.18,48440.93,46675,48106.12,11624351580,2516058
1631580000000,2021-09-14 00:00:00,BTC/USDT,44975.96,47272.98,44692.9,47087.18,12831694974,2897568
1631490000000,2021-09-13 00:00:00,BTC/USDT,46048.02,46933.89,43323.93,44975.96,20131171676,4145907
1631400000000,2021-09-12 00:00:00,BTC/USDT,45194.19,46512.2,44746.51,46046.73,10201271596,2321178
1631320000000,2021-09-11 00:00:00,BTC/USDT,44860.83,45999,44737.4,45193.78,8807681962,2214791
1631230000000,2021-09-10 00:00:00,BTC/USDT,46413.88,47037.5,44120,44860.83,15708080883,3380700
1631150000000,2021-09-09 00:00:00,BTC/USDT,46060.02,47400,45500,46413.88,14346157049,3136000
1631060000000,2021-09-08 00:00:00,BTC/USDT,46864.38,47347,44431,46062.29,20085515481,4352909
1630970000000,2021-09-07 00:00:00,BTC/USDT,52683.98,52950,42088,46864.39,37281067593,6793714
1630890000000,2021-09-06 00:00:00,BTC/USDT,51799.56,52830,51040,52683.97,15423250787,2960058
1630800000000,2021-09-05 00:00:00,BTC/USDT,49942.2,51950,49462.59,51799.57,14588935796,2959186
1630710000000,2021-09-04 00:00:00,BTC/USDT,50027.09,50582.08,49360,49940.74,13759937548,2715890
1630630000000,2021-09-03 00:00:00,BTC/USDT,49299.14,51111,48333,50027.08,21513177166,3937764
